date,price,vol
1510568272,91.08333333333333,139.0
1510568577,91.00833333333334,265.0
1510568878,91.0,266.0
1510569177,91.0,270.0
1510569478,91.0,270.0
1510569777,91.0,52.0
1510570077,91.0,56.0
1510570378,91.0,151.0
1510570677,91.0,123.0
1510570977,91.0,123.0
1510571277,91.0,154.0
1510571577,91.0,65.0
1510571879,91.0,68.0
1510572179,91.0,68.0
1510572542,91.0,60.0
1510572777,91.0,93.0
1510573078,91.0,162.0
1510573377,91.0,211.0
1510573677,91.0,162.0
1510573979,90.525,41.0
1510574277,90.03333333333333,187.0
1510574578,90.39166666666667,46.0
1510574878,90.225,11.0
1510575177,90.40833333333333,11.0
1510575477,90.40833333333333,6.0
1510575779,90.2,52.0
1510576081,90.45,2.0
1510576377,90.5,2.0
1510576678,90.23333333333333,47.0
1510576977,90.06666666666666,57.0
1510577279,90.06666666666666,82.0
1510577578,90.0,204.0
1510577877,90.0,387.0
1510578178,90.0,198.0
1510578478,90.0,18.0
1510578777,90.0,179.0
1510579078,89.43333333333334,652.0
1510579377,90.0,357.0
1510579677,90.0,95.0
1510579977,90.0,227.0
1510580277,90.0,231.0
1510580577,90.0,86.0
1510580879,90.0,168.0
1510581177,0.0,0.0
1510581477,90.0,72.0
1510581777,90.0,54.0
1510582077,90.0,83.0
1510582378,91.0,478.0
1510582677,90.975,385.0
1510582977,90.975,277.0
1510583277,90.975,147.0
1510583577,90.43333333333334,87.0
1510583878,90.0,291.0
1510584177,90.0,304.0
1510584478,90.0,108.0
1510584777,90.00833333333334,88.0
1510585078,90.0,16.0
1510585379,90.0,41.0
1510585677,0.0,0.0
1510585977,90.0,78.0
1510586278,90.71666666666667,344.0
1510586579,91.0,161.0
1510586877,91.0,212.0
1510587179,91.0,206.0
1510587477,91.0,116.0
1510587778,91.0,111.0
1510588078,91.0,137.0
1510588377,91.0,151.0
1510588677,91.0,164.0
1510588978,91.0,194.0
1510589277,91.30833333333334,177.0
1510589577,91.06666666666666,315.0
1510589877,91.025,337.0
1510590177,91.0,178.0
1510590478,91.0,206.0
1510590777,91.0,338.0
1510591077,91.0,308.0
1510591377,91.0,153.0
1510591677,90.78333333333333,173.0
1510591977,90.5,84.0
1510592278,90.7,300.0
1510592577,91.0,432.0
1510592877,90.59166666666667,229.0
1510593178,90.56666666666666,59.0
1510593478,90.875,61.0
1510593778,91.0,243.0
1510594078,91.0,245.0
1510594377,0.0,0.0
1510594677,91.0,549.0
1510594977,91.0,268.0
1510595277,91.0,264.0
1510595577,91.0,56.0
1510595877,91.0,271.0
1510596177,91.0,258.0
1510596477,91.0,278.0
1510596778,0.0,0.0
1510597077,91.0,77.0
1510597378,91.0,77.0
1510597677,91.0,105.0
1510597977,91.0,116.0
1510598277,91.0,84.0
1510598577,91.0,490.0
1510598877,91.66666666666667,216.0
1510599177,91.65833333333333,169.0
1510599478,91.45833333333333,125.0
1510599777,91.14166666666667,248.0
1510600701,91.0,154.0
1510600977,91.0,427.0
1510601277,91.0,385.0
1510601577,91.91666666666667,411.0
1510601877,91.91666666666667,296.0
1510602178,91.9,102.0
1510602479,91.61666666666666,362.0
1510602778,91.54166666666667,269.0
1510603077,91.5,340.0
1510603377,91.78333333333333,364.0
1510603677,91.925,353.0
1510603977,92.0,119.0
1510604277,92.0,47.0
1510604578,92.0,42.0
1510604877,92.0,62.0
1510605177,92.0,64.0
1510605477,92.0,806.0
1510605777,92.0,652.0
1510606078,92.0,59.0
1510606378,92.0,94.0
1510606677,92.0,304.0
1510606978,92.0,95.0
1510607277,92.0,94.0
1510607579,92.0,170.0
1510607879,92.0,138.0
1510608177,92.0,168.0
1510608477,92.0,133.0
1510608777,92.0,110.0
1510609077,92.0,141.0
1510609378,92.0,107.0
1510609677,92.0,101.0
1510609977,92.0,89.0
1510610277,91.075,410.0
1510610578,91.11666666666666,329.0
1510610878,91.2,324.0
1510611177,91.48333333333333,226.0
1510611478,91.80833333333334,118.0
1510611777,92.0,282.0
1510612077,92.0,336.0
1510612378,92.0,333.0
1510612677,92.0,190.0
1510612978,92.0,184.0
1510613278,92.0,183.0
1510613577,92.0,58.0
1510613877,92.0,62.0
1510614179,92.0,76.0
1510614478,92.0,75.0
1510614777,92.0,51.0
1510615077,92.0,173.0
1510615377,92.0,160.0
1510615678,92.0,318.0
1510615977,92.56666666666666,231.0
1510616277,92.88333333333334,134.0
1510616577,92.375,64.0
1510616878,92.00833333333334,46.0
1510617177,92.0,40.0
1510617478,92.0,217.0
1510617777,92.59166666666667,382.0
1510618078,93.0,169.0
1510618377,93.0,220.0
1510618677,92.93333333333334,434.0
1510618977,92.0,483.0
1510619278,91.03333333333333,470.0
1510619578,91.68333333333334,44.0
1510619877,91.31666666666666,496.0
1510620178,91.23333333333333,86.0
1510620479,91.0,140.0
1510620778,91.0,91.0
1510621205,91.15,203.0
1510621377,91.15,167.0
1510621678,91.0,128.0
1510621977,91.0,96.0
1510622277,91.04166666666667,171.0
1510622578,91.04166666666667,167.0
1510622878,91.04166666666667,131.0
1510623178,91.0,155.0
1510623478,91.0,139.0
1510623777,91.30833333333334,148.0
1510624079,91.075,187.0
1510624378,91.0,248.0
1510624677,91.0,369.0
1510624977,91.0,320.0
1510625277,91.0,168.0
1510625577,91.0,626.0
1510625877,91.0,681.0
1510626178,91.0,63.0
1510626478,90.19166666666666,71.0
1510626777,90.1,53.0
1510627077,90.0,152.0
1510627378,90.28333333333333,407.0
1510627678,90.75,323.0
1510627977,90.88333333333334,43.0
1510628277,90.875,74.0
1510628577,90.43333333333334,38.0
1510628879,90.19166666666666,174.0
1510629179,90.35833333333333,162.0
1510629478,90.375,96.0
1510629777,90.30833333333334,27.0
1510630077,90.54166666666667,62.0
1510630377,90.85833333333333,37.0
1510630677,91.0,46.0
1510630978,91.0,59.0
1510631278,91.0,109.0
1510631577,91.0,138.0
1510631877,91.0,91.0
1510632177,91.0,94.0
1510632477,91.0,61.0
1510632777,91.0,47.0
1510633078,91.0,116.0
1510633378,91.0,100.0
1510633679,91.0,237.0
1510633977,91.0,164.0
1510634279,91.075,233.0
1510634577,91.35833333333333,171.0
1510634878,0.0,0.0
1510635179,91.34166666666667,192.0
1510635604,91.275,230.0
1510635778,91.11666666666666,274.0
1510636079,91.2,273.0
1510636377,91.2,288.0
1510636677,91.16666666666667,251.0
1510636977,91.16666666666667,171.0
1510637277,91.13333333333334,135.0
1510637577,91.00833333333334,112.0
1510637877,91.25,228.0
1510638177,91.25,269.0
1510638478,91.25,280.0
1510638777,91.25,295.0
1510639077,91.23333333333333,231.0
1510639377,91.09166666666667,216.0
1510639677,91.0,172.0
1510639977,91.0,167.0
1510640277,91.0,169.0
1510640577,91.0,161.0
1510640877,91.0,132.0
1510641177,91.0,42.0
1510641478,91.0,50.0
1510641777,91.0,45.0
1510642077,91.0,47.0
1510642378,91.0,36.0
1510642677,91.0,67.0
1510642977,91.0,290.0
1510643277,91.025,365.0
1510643578,91.025,366.0
1510643877,91.025,386.0
1510644178,91.025,385.0
1510644477,91.10833333333333,421.0
1510644778,91.10833333333333,366.0
1510645077,91.10833333333333,213.0
1510645377,91.08333333333333,213.0
1510645677,91.0,363.0
1510645978,91.0,501.0
1510646280,91.0,408.0
1510646579,91.0,294.0
1510646878,91.0,200.0
1510647179,91.0,147.0
1510647477,91.0,135.0
1510647777,91.0,86.0
1510648077,91.0,11.0
1510648377,91.0,59.0
1510648677,91.0,133.0
1510648977,91.0,170.0
1510649277,91.0,148.0
1510649578,91.0,160.0
1510649879,91.0,47.0
1510650179,91.0,29.0
1510650477,91.0,31.0
1510650778,91.0,36.0
1510651078,91.0,57.0
1510651377,91.0,172.0
1510651678,91.0,170.0
1510651977,91.0,179.0
1510652277,91.0,63.0
1510652579,91.0,56.0
1510652878,91.0,51.0
1510653178,91.0,38.0
1510653477,91.0,44.0
